date,departing_state,arriving_state,status
3/07/2020,Australian Capital Territory,Australian Capital Territory,0
6/07/2020,Victoria,Victoria,0
6/07/2020,Victoria,New South Wales,1
6/07/2020,Victoria,Queensland,10
6/07/2020,Victoria,South Australia,2
6/07/2020,Victoria,Western Australia,10
6/07/2020,Victoria,Tasmania,3
6/07/2020,Victoria,Northern Territory,2
6/07/2020,Victoria,Australian Capital Territory,6
6/07/2020,New South Wales,Victoria,1
6/07/2020,New South Wales,New South Wales,0
6/07/2020,New South Wales,Queensland,9
6/07/2020,New South Wales,South Australia,2
6/07/2020,New South Wales,Western Australia,10
6/07/2020,New South Wales,Tasmania,3
6/07/2020,New South Wales,Northern Territory,2
6/07/2020,New South Wales,Australian Capital Territory,1
6/07/2020,Queensland,Victoria,1
6/07/2020,Queensland,New South Wales,1
6/07/2020,Queensland,Queensland,0
6/07/2020,Queensland,South Australia,2
6/07/2020,Queensland,Western Australia,10
6/07/2020,Queensland,Tasmania,3
6/07/2020,Queensland,Northern Territory,2
6/07/2020,Queensland,Australian Capital Territory,1
6/07/2020,South Australia,Victoria,1
6/07/2020,South Australia,New South Wales,1
6/07/2020,South Australia,Queensland,9
6/07/2020,South Australia,South Australia,0
6/07/2020,South Australia,Western Australia,10
6/07/2020,South Australia,Tasmania,3
6/07/2020,South Australia,Northern Territory,2
6/07/2020,South Australia,Australian Capital Territory,1
6/07/2020,Western Australia,Victoria,1
6/07/2020,Western Australia,New South Wales,1
6/07/2020,Western Australia,Queensland,9
6/07/2020,Western Australia,South Australia,2
6/07/2020,Western Australia,Western Australia,0
6/07/2020,Western Australia,Tasmania,3
6/07/2020,Western Australia,Northern Territory,2
6/07/2020,Western Australia,Australian Capital Territory,1
6/07/2020,Tasmania,Victoria,1
6/07/2020,Tasmania,New South Wales,1
6/07/2020,Tasmania,Queensland,9
6/07/2020,Tasmania,South Australia,2
6/07/2020,Tasmania,Western Australia,10
6/07/2020,Tasmania,Tasmania,0
6/07/2020,Tasmania,Northern Territory,2
6/07/2020,Tasmania,Australian Capital Territory,1
6/07/2020,Northern Territory,Victoria,1
6/07/2020,Northern Territory,New South Wales,1
6/07/2020,Northern Territory,Queensland,9
6/07/2020,Northern Territory,South Australia,2
6/07/2020,Northern Territory,Western Australia,10
6/07/2020,Northern Territory,Tasmania,3
6/07/2020,Northern Territory,Northern Territory,0
6/07/2020,Northern Territory,Australian Capital Territory,1
6/07/2020,Australian Capital Territory,Victoria,1
6/07/2020,Australian Capital Territory,New South Wales,1
6/07/2020,Australian Capital Territory,Queensland,9
6/07/2020,Australian Capital Territory,South Australia,2
6/07/2020,Australian Capital Territory,Western Australia,10
6/07/2020,Australian Capital Territory,Tasmania,3
6/07/2020,Australian Capital Territory,Northern Territory,2
6/07/2020,Australian Capital Territory,Australian Capital Territory,0
7/07/2020,Victoria,Victoria,0
7/07/2020,Victoria,New South Wales,10
7/07/2020,Victoria,Queensland,10
7/07/2020,Victoria,South Australia,2
7/07/2020,Victoria,Western Australia,10
7/07/2020,Victoria,Tasmania,3
7/07/2020,Victoria,Northern Territory,7
7/07/2020,Victoria,Australian Capital Territory,6
7/07/2020,New South Wales,Victoria,10
7/07/2020,New South Wales,New South Wales,0
7/07/2020,New South Wales,Queensland,9
7/07/2020,New South Wales,South Australia,2
7/07/2020,New South Wales,Western Australia,10
7/07/2020,New South Wales,Tasmania,3
7/07/2020,New South Wales,Northern Territory,2
7/07/2020,New South Wales,Australian Capital Territory,1
7/07/2020,Queensland,Victoria,1
7/07/2020,Queensland,New South Wales,1
7/07/2020,Queensland,Queensland,0
7/07/2020,Queensland,South Australia,2
7/07/2020,Queensland,Western Australia,10
7/07/2020,Queensland,Tasmania,3
7/07/2020,Queensland,Northern Territory,2
7/07/2020,Queensland,Australian Capital Territory,1
7/07/2020,South Australia,Victoria,1
7/07/2020,South Australia,New South Wales,1
7/07/2020,South Australia,Queensland,9
7/07/2020,South Australia,South Australia,0
7/07/2020,South Australia,Western Australia,10
7/07/2020,South Australia,Tasmania,3
7/07/2020,South Australia,Northern Territory,2
7/07/2020,South Australia,Australian Capital Territory,1
7/07/2020,Western Australia,Victoria,1
7/07/2020,Western Australia,New South Wales,1
7/07/2020,Western Australia,Queensland,9
7/07/2020,Western Australia,South Australia,2
7/07/2020,Western Australia,Western Australia,0
7/07/2020,Western Australia,Tasmania,3
7/07/2020,Western Australia,Northern Territory,2
7/07/2020,Western Australia,Australian Capital Territory,1
7/07/2020,Tasmania,Victoria,1
7/07/2020,Tasmania,New South Wales,1
7/07/2020,Tasmania,Queensland,9
7/07/2020,Tasmania,South Australia,2
7/07/2020,Tasmania,Western Australia,10
7/07/2020,Tasmania,Tasmania,0
7/07/2020,Tasmania,Northern Territory,2
7/07/2020,Tasmania,Australian Capital Territory,1
7/07/2020,Northern Territory,Victoria,1
7/07/2020,Northern Territory,New South Wales,1
7/07/2020,Northern Territory,Queensland,9
7/07/2020,Northern Territory,South Australia,2
7/07/2020,Northern Territory,Western Australia,10
7/07/2020,Northern Territory,Tasmania,3
7/07/2020,Northern Territory,Northern Territory,0
7/07/2020,Northern Territory,Australian Capital Territory,1
7/07/2020,Australian Capital Territory,Victoria,1
7/07/2020,Australian Capital Territory,New South Wales,1
7/07/2020,Australian Capital Territory,Queensland,9
7/07/2020,Australian Capital Territory,South Australia,2
7/07/2020,Australian Capital Territory,Western Australia,10
7/07/2020,Australian Capital Territory,Tasmania,3
7/07/2020,Australian Capital Territory,Northern Territory,2
7/07/2020,Australian Capital Territory,Australian Capital Territory,0
8/07/2020,Victoria,Victoria,0
8/07/2020,Victoria,New South Wales,10
8/07/2020,Victoria,Queensland,10
8/07/2020,Victoria,South Australia,2
8/07/2020,Victoria,Western Australia,10
8/07/2020,Victoria,Tasmania,9
8/07/2020,Victoria,Northern Territory,7
